gpu_profile,gpu_label,model_key,density,density_level,target_long_fraction_pct,losing_metrics,severity,all_ttft_p99_ratio,short_ttft_p99_ratio,all_completion_p99_ratio,round_wall_ratio,throughput_ratio,note
rtx4090,RTX 4090,gemma-7b-it,high_l10,high,10,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.213054,0.211775,2.22426,2.21154,0.452197,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,mid_l10,mid,10,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.213258,0.205652,2.18502,2.01299,0.496786,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,mid_l90,mid,90,all p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.230945,5.51813,0.28614,0.416792,2.39925,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,high_l70,high,70,all p99 TTFT; short p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.25156,0.0801665,0.411769,0.521572,1.91118,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-7b-it,high_l90,high,90,all p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.272479,5.28776,0.28144,0.369458,2.68106,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,mid_l10,mid,10,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.279652,0.619287,2.83975,1.94736,0.513565,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,high_l70,high,70,all p99 TTFT; all p99 completion,spot_rerun_candidate,0.305052,5.90195,0.946009,1.08471,0.92192,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,high_l10,high,10,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.319073,0.327537,3.00376,2.37115,0.421706,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,baichuan2-7b-chat,high_l90,high,90,all p99 TTFT; all p99 completion; round wall time; throughput,spot_rerun_candidate,0.321757,4.5268,0.770097,0.833569,1.19914,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,high_l50,high,50,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.342889,0.236989,1.46271,1.5069,0.664292,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,high_l30,high,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.398018,0.393382,2.16617,2.03778,0.49066,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,high_l90,high,90,all p99 TTFT; all p99 completion,spot_rerun_candidate,0.411644,4.52194,0.998565,1.05091,0.947992,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,high_l10,high,10,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.643237,0.88448,4.10347,2.86521,0.348785,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,mid_l70,mid,70,all p99 TTFT,paper_caveat,0.299159,6.8557,1.22091,1.22609,0.8156,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,mid_l90,mid,90,all p99 TTFT,paper_caveat,0.351276,3.80689,1.01566,1.07804,0.927652,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,gemma-2-9b-it,high_l70,high,70,all p99 TTFT,paper_caveat,0.361508,9.02402,1.20169,1.21471,0.82323,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,mistral-7b-instruct-v0.2,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.891028,3.01962,3.48248,1.94298,0.514691,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx4090,RTX 4090,qwen2.5-7b-instruct,high_l10,high,10,all p99 TTFT,paper_caveat,0.927888,2.9996,3.80138,2.20083,0.454374,RTX 4090 is the tightest-memory profile; treat mixed TTFT as a stress case and avoid universal-win wording.
rtx5090,RTX 5090,gemma-7b-it,high_l30,high,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.626693,0.755418,2.10571,1.88692,0.529487,"RTX 5090 short-TTFT exception; completion, wall time, and throughput still win in the completed run."
rtx5090,RTX 5090,gemma-7b-it,mid_l30,mid,30,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.725141,0.691489,2.38461,1.73808,0.575346,"RTX 5090 short-TTFT exception; completion, wall time, and throughput still win in the completed run."
rtx5090,RTX 5090,gemma-7b-it,high_l50,high,50,all p99 TTFT; short p99 TTFT,spot_rerun_candidate,0.816935,0.741227,2.01267,1.7269,0.577553,"RTX 5090 short-TTFT exception; completion, wall time, and throughput still win in the completed run."
rtx5090,RTX 5090,baichuan2-7b-chat,high_l10,high,10,all p99 TTFT,paper_caveat,0.608713,1.57162,2.89137,1.92681,0.518988,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,baichuan2-7b-chat,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.615828,1.8532,2.67643,1.67457,0.596582,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,qwen2.5-7b-instruct,high_l10,high,10,all p99 TTFT,paper_caveat,0.619263,1.68705,2.90981,1.85404,0.539363,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,mistral-7b-instruct-v0.2,high_l10,high,10,all p99 TTFT,paper_caveat,0.661534,1.89255,2.9765,1.96725,0.508325,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,mid_l90,mid,90,all p99 TTFT,paper_caveat,0.673592,3.67196,1.11115,1.22554,0.812784,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,mistral-7b-instruct-v0.2,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.75827,2.33249,2.56704,1.67339,0.59747,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,qwen2.5-7b-instruct,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.763408,1.57313,2.59467,1.6125,0.621036,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.787117,2.48195,2.9852,1.85544,0.541145,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,baichuan2-7b-chat,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.795649,2.30651,2.61312,1.65699,0.603504,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,high_l90,high,90,all p99 TTFT,paper_caveat,0.796618,4.64055,1.11128,1.15543,0.859451,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.814547,1.56278,2.34169,1.6562,0.603781,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,high_l70,high,70,all p99 TTFT,paper_caveat,0.82832,6.30891,1.7812,1.57615,0.634789,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,mid_l30,mid,30,all p99 TTFT,paper_caveat,0.829294,2.45195,3.46265,2.31614,0.431756,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.856495,2.80858,3.36075,2.24508,0.446072,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,high_l70,high,70,all p99 TTFT,paper_caveat,0.860088,5.18112,2.4076,1.9895,0.502648,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,high_l10,high,10,all p99 TTFT,paper_caveat,0.863182,2.87782,3.03698,2.07216,0.482588,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,qwen2.5-7b-instruct,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.863278,2.08232,2.36414,1.53118,0.653097,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,baichuan2-7b-chat,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.872773,2.80174,2.39945,1.59146,0.62835,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,qwen2.5-7b-instruct,high_l30,high,30,all p99 TTFT,paper_caveat,0.874675,2.68693,2.74766,1.84295,0.542611,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-7b-it,mid_l70,mid,70,all p99 TTFT,paper_caveat,0.883875,3.74327,1.83349,1.54343,0.651357,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,mistral-7b-instruct-v0.2,mid_l50,mid,50,all p99 TTFT,paper_caveat,0.894044,2.89835,2.6636,1.75037,0.571311,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,high_l10,high,10,all p99 TTFT,paper_caveat,0.910551,2.88577,4.27125,2.77681,0.360129,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,mid_l10,mid,10,all p99 TTFT,paper_caveat,0.918373,2.33805,3.28848,2.18221,0.458082,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,qwen2.5-7b-instruct,high_l50,high,50,all p99 TTFT,paper_caveat,0.965923,2.89642,2.62869,1.81202,0.55187,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
rtx5090,RTX 5090,gemma-2-9b-it,high_l90,high,90,all p99 TTFT,paper_caveat,0.968922,2.97995,2.03261,1.77255,0.563979,RTX 5090 all-TTFT mixed case; short-TTFT and guardrail metrics usually still win.
